# Reviewed-protein consensus per KO; generated by scripts/build_kegg_swissprot_consensus.py.
# Swiss-Prot 2026_03 (uniprot_sprot.dat.gz sha256 c87208822a56e8ae); KEGG gene links sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicate	agreeing	proteins
K00299	nad_binding	5	5
K00299	oxidoreductase	5	5
K00306	oxidoreductase	8	8
K00311	oxidoreductase	14	14
K00312	regulator	6	6
K00312	regulatory	6	6
K00312	signaling	6	6
K00318	oxidoreductase	15	15
K00319	oxidoreductase	19	19
K00320	oxidoreductase	8	8
K00322	nad_binding	91	91
K00322	oxidoreductase	91	91
K00324	electron_transport	6	6
K00324	translocase	6	6
K00324	transporter	6	6
K00325	electron_transport	6	6
K00325	translocase	6	6
K00325	transporter	6	6
K00326	nad_binding	79	81
K00326	oxidoreductase	80	81
K00327	nad_binding	23	23
K00327	oxidoreductase	23	23
K00330	electron_transport	196	196
K00330	translocase	196	196
K00330	transporter	196	196
K00331	electron_transport	511	511
K00331	translocase	511	511
K00331	transporter	511	511
K00332	electron_transport	200	200
K00332	translocase	200	200
K00332	transporter	200	200
K00333	electron_transport	336	336
K00333	translocase	336	336
K00333	transporter	336	336
K00334	electron_transport	21	21
K00334	translocase	21	21
K00334	transporter	21	21
K00335	electron_transport	24	24
K00335	translocase	24	24
K00335	transporter	24	24
K00336	electron_transport	26	26
K00336	translocase	26	26
K00336	transporter	26	26
K00337	electron_transport	386	386
K00337	translocase	386	386
K00337	transporter	386	386
K00338	electron_transport	324	324
K00338	translocase	324	324
K00338	transporter	324	324
K00339	electron_transport	14	14
K00339	translocase	14	14
K00339	transporter	14	14
K00340	electron_transport	412	412
K00340	translocase	412	412
K00340	transporter	412	412
K00341	electron_transport	17	17
K00341	translocase	17	17
K00341	transporter	17	17
K00342	electron_transport	15	15
K00342	translocase	15	15
K00342	transporter	15	15
K00343	electron_transport	242	242
K00343	translocase	242	242
K00343	transporter	242	242
K00344	nad_binding	11	11
K00344	oxidoreductase	11	11
K00346	ion_transporter	60	60
K00346	translocase	60	60
K00346	transporter	60	60
K00347	ion_transporter	35	35
K00347	translocase	35	35
K00347	transporter	35	35
K00348	ion_transporter	17	17
K00348	translocase	17	17
K00348	transporter	17	17
K00349	ion_transporter	72	72
K00349	translocase	72	72
K00349	transporter	72	72
K00350	ion_transporter	77	77
K00350	translocase	77	77
K00350	transporter	77	77
K00351	ion_transporter	46	46
K00351	translocase	46	46
K00351	transporter	46	46
K00354	nad_binding	37	37
K00354	oxidoreductase	37	37
K00355	nad_binding	6	6
K00355	oxidoreductase	6	6
K00357	nad_binding	6	6
K00357	oxidoreductase	6	6
K00364	nad_binding	190	190
K00364	nitrogen_metabolism	190	190
K00364	oxidoreductase	190	190
K00365	nitrogen_metabolism	17	17
K00365	oxidoreductase	17	17
K00368	nitrogen_metabolism	5	5
K00368	oxidoreductase	5	5
K00371	nitrogen_metabolism	5	5
K00371	oxidoreductase	5	5
K00376	nitrogen_metabolism	9	9
K00376	oxidoreductase	9	9
K00380	nad_binding	60	60
K00380	oxidoreductase	60	60
K00380	sulfur_metabolism	59	60
K00381	nad_binding	176	176
K00381	oxidoreductase	176	176
K00381	sulfur_metabolism	176	176
K00382	nad_binding	59	60
K00382	oxidoreductase	59	60
K00382	sulfur_metabolism	59	60
K00383	nad_binding	24	24
K00383	oxidoreductase	24	24
K00383	sulfur_metabolism	24	24
K00384	nad_binding	127	127
K00384	oxidoreductase	127	127
K00387	cytoplasmic	5	5
K00387	oxidoreductase	5	5
K00387	sulfur_metabolism	5	5
K00390	oxidoreductase	155	156
K00390	sulfur_metabolism	155	156
K00392	oxidoreductase	9	9
K00392	sulfur_metabolism	9	9
K00399	sulfurtransferase	10	10
K00399	transferase	10	10
K00401	sulfurtransferase	8	8
K00401	transferase	8	8
K00402	sulfurtransferase	8	8
K00402	transferase	8	8
K00411	electron_transport	27	27
K00411	translocase	27	27
K00411	transporter	27	27
K00423	oxidoreductase	6	6
K00428	oxidoreductase	28	28
K00428	peroxidase	28	28
K00430	oxidoreductase	84	84
K00430	peroxidase	84	84
K00434	oxidoreductase	15	15
K00434	peroxidase	15	15
K00435	oxidoreductase	57	57
K00451	dioxygenase	82	84
K00451	oxidoreductase	84	84
K00451	oxygenase	84	84
K00452	dioxygenase	49	49
K00452	oxidoreductase	49	49
K00452	oxygenase	49	49
K00453	dioxygenase	93	95
K00453	oxidoreductase	93	95
K00453	oxygenase	93	95
K00454	dioxygenase	10	10
K00454	oxidoreductase	10	10
K00454	oxygenase	10	10
K00456	dioxygenase	11	11
K00456	oxidoreductase	11	11
K00456	oxygenase	11	11
K00457	dioxygenase	21	24
K00457	oxidoreductase	21	24
K00457	oxygenase	21	24
K00458	dioxygenase	5	5
K00458	lipid_metabolism	5	5
K00458	oxidoreductase	5	5
K00458	oxygenase	5	5
K00459	monooxygenase	19	19
K00459	oxidoreductase	19	19
K00459	oxygenase	19	19
K00460	dioxygenase	7	7
K00460	oxidoreductase	7	7
K00460	oxygenase	7	7
K00463	dioxygenase	7	7
K00463	oxidoreductase	7	7
K00463	oxygenase	7	7
K00469	oxidoreductase	12	12
K00469	oxygenase	12	12
K00471	dioxygenase	5	5
K00471	oxidoreductase	5	5
K00471	oxygenase	5	5
K00472	dioxygenase	27	27
K00472	oxidoreductase	27	27
K00472	oxygenase	27	27
K00473	dioxygenase	5	5
K00473	oxidoreductase	5	5
K00473	oxygenase	5	5
K00474	dioxygenase	7	7
K00474	oxidoreductase	7	7
K00474	oxygenase	7	7
K00477	dioxygenase	7	8
K00477	oxidoreductase	8	8
K00477	oxygenase	7	8
K00485	monooxygenase	34	36
K00485	nad_binding	34	36
K00485	oxidoreductase	36	36
K00485	oxygenase	34	36
K00486	monooxygenase	46	46
K00486	nad_binding	46	46
K00486	oxidoreductase	46	46
K00486	oxygenase	46	46
K00487	flavin_binding	6	6
K00487	monooxygenase	6	6
K00487	oxidoreductase	6	6
K00487	oxygenase	6	6
K00489	flavin_binding	5	5
K00489	monooxygenase	5	5
K00489	oxidoreductase	5	5
K00489	oxygenase	5	5
K00491	flavin_binding	8	8
K00491	monooxygenase	8	8
K00491	oxidoreductase	8	8
K00491	oxygenase	8	8
K00496	monooxygenase	5	5
K00496	oxidoreductase	5	5
K00496	oxygenase	5	5
K00498	monooxygenase	9	9
K00498	oxidoreductase	9	9
K00498	oxygenase	9	9
K00500	monooxygenase	12	12
K00500	oxidoreductase	12	12
K00500	oxygenase	12	12
K00501	monooxygenase	10	10
K00501	oxidoreductase	10	10
K00501	oxygenase	10	10
K00502	monooxygenase	11	11
K00502	oxidoreductase	11	11
K00502	oxygenase	11	11
K00503	monooxygenase	9	9
K00503	oxidoreductase	9	9
K00503	oxygenase	9	9
K00505	monooxygenase	15	17
K00505	oxidoreductase	17	17
K00505	oxygenase	16	17
K00507	oxidoreductase	19	19
K00507	oxygenase	19	19
K00509	oxidoreductase	6	6
K00509	oxygenase	6	6
K00510	flavin_binding	7	7
K00510	monooxygenase	7	7
K00510	oxidoreductase	7	7
K00510	oxygenase	7	7
K00511	flavin_binding	17	17
K00511	monooxygenase	17	17
K00511	oxidoreductase	17	17
K00511	oxygenase	17	17
K00512	flavin_binding	19	19
K00512	monooxygenase	19	19
K00512	oxidoreductase	19	19
K00512	oxygenase	19	19
K00513	flavin_binding	5	5
K00513	monooxygenase	5	5
K00513	oxidoreductase	5	5
K00513	oxygenase	5	5
K00514	oxidoreductase	6	6
K00521	enzyme	8	8
K00521	halogenase	8	8
K00521	metal_binding	8	8
K00521	nad_binding	8	8
K00521	oxidase	8	8
K00521	oxidoreductase	8	8
K00522	metal_binding	29	29
K00522	oxidoreductase	29	29
K00525	oxidoreductase	41	41
K00526	oxidoreductase	46	46
K00527	oxidoreductase	9	9
K00528	nad_binding	14	15
K00528	oxidoreductase	14	15
K00529	nad_binding	17	18
K00529	oxidoreductase	18	18
K00535	nad_binding	17	17
K00535	oxidoreductase	17	17
K00537	oxidoreductase	10	11
K00540	oxidoreductase	9	9
K00542	methyltransferase	6	6
K00542	transferase	6	6
K00543	methyltransferase	6	6
K00543	transferase	6	6
K00544	methyltransferase	8	8
