# Reviewed-protein consensus per KO; generated by scripts/build_kegg_swissprot_consensus.py.
# Swiss-Prot 2026_03 (uniprot_sprot.dat.gz sha256 c87208822a56e8ae); KEGG gene links sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicate	agreeing	proteins
K06974	peptidase	30	30
K06974	protease	30	30
K06981	atp_binding	5	5
K06981	kinase	5	5
K06981	transferase	5	5
K06989	nad_binding	52	56
K06989	oxidoreductase	52	56
K06999	hydrolase	7	7
K07012	hydrolase	9	9
K07023	hydrolase	9	9
K07023	phosphatase	9	9
K07024	hydrolase	10	10
K07024	phosphatase	10	10
K07025	hydrolase	8	8
K07025	phosphatase	7	8
K07026	hydrolase	34	34
K07026	phosphatase	34	34
K07029	atp_binding	21	21
K07029	kinase	21	21
K07029	transferase	21	21
K07041	hydrolase	9	9
K07042	hydrolase	693	693
K07048	hydrolase	25	27
K07055	transferase	9	9
K07056	methyltransferase	41	41
K07056	transferase	41	41
K07060	hydrolase	7	7
K07067	nucleotidyltransferase	65	65
K07067	transferase	65	65
K07075	nucleotidyltransferase	7	7
K07075	transferase	7	7
K07082	lyase	5	5
K07094	transferase	54	54
K07095	hydrolase	7	7
K07095	phosphodiesterase	7	7
K07098	hydrolase	10	11
K07106	dehydratase	203	203
K07106	lyase	203	203
K07107	hydrolase	10	11
K07116	amidase	14	14
K07116	hydrolase	14	14
K07127	hydrolase	19	19
K07130	amidase	51	51
K07130	hydrolase	51	51
K07145	oxidoreductase	49	49
K07145	oxygenase	49	49
K07146	oxidoreductase	369	369
K07146	oxygenase	369	369
K07147	oxidoreductase	81	81
K07147	sulfur_metabolism	81	81
K07151	glycosyltransferase	17	17
K07151	transferase	17	17
K07160	hydrolase	234	234
K07171	hydrolase	34	35
K07173	lyase	283	283
K07178	hydrolase	10	12
K07178	kinase	12	12
K07178	serine_threonine_kinase	12	12
K07178	transferase	12	12
K07179	kinase	8	8
K07179	serine_threonine_kinase	8	8
K07179	transferase	8	8
K07188	esterase	6	6
K07188	hydrolase	6	6
K07198	kinase	29	29
K07198	serine_threonine_kinase	29	29
K07198	transferase	29	29
K07203	cytoplasmic	11	12
K07203	enzyme	10	12
K07203	kinase	12	12
K07203	phosphotransferase	10	12
K07203	regulator	11	12
K07203	regulatory	11	12
K07203	serine_threonine_kinase	12	12
K07203	transferase	12	12
K07208	gtp_binding	11	11
K07208	hydrolase	11	11
K07223	oxidoreductase	5	5
K07223	peroxidase	5	5
K07232	lyase	13	13
K07235	sulfurtransferase	81	81
K07235	transferase	81	81
K07249	nad_binding	16	16
K07249	oxidoreductase	16	16
K07250	aminotransferase	6	6
K07250	plp_binding	6	6
K07250	transferase	6	6
K07251	atp_binding	36	36
K07251	kinase	36	36
K07251	transferase	36	36
K07252	hydrolase	8	8
K07253	isomerase	12	12
K07254	methyltransferase	45	45
K07254	transferase	45	45
K07258	hydrolase	12	12
K07258	peptidase	12	12
K07258	protease	12	12
K07259	hydrolase	5	5
K07259	peptidase	5	5
K07259	protease	5	5
K07261	hydrolase	53	53
K07261	metal_binding	53	53
K07261	peptidase	53	53
K07261	protease	53	53
K07264	glycosyltransferase	79	79
K07264	transferase	79	79
K07270	transferase	6	6
K07284	cysteine_protease	7	7
K07284	hydrolase	7	7
K07284	protease	7	7
K07293	hydrolase	6	6
K07293	phosphatase	6	6
K07298	kinase	7	7
K07298	serine_threonine_kinase	7	7
K07298	transferase	7	7
K07304	oxidoreductase	296	296
K07304	sulfur_metabolism	296	296
K07305	oxidoreductase	211	212
K07305	sulfur_metabolism	211	212
K07320	methyltransferase	22	22
K07320	transferase	22	22
K07336	dioxygenase	175	175
K07336	oxidoreductase	175	175
K07336	oxygenase	175	175
K07374	gtp_binding	80	80
K07374	hydrolase	80	80
K07376	kinase	9	9
K07376	serine_threonine_kinase	9	9
K07376	transferase	9	9
K07378	inner_membrane	9	11
K07378	membrane	9	11
K07378	protein_binding	9	11
K07378	regulator	9	11
K07378	regulatory	9	11
K07404	esterase	72	87
K07404	hydrolase	72	87
K07407	carbohydrate_active	29	29
K07407	glycosidase	29	29
K07407	hydrolase	29	29
K07408	dehydratase	9	9
K07408	flavin_binding	9	9
K07408	lyase	9	9
K07408	monooxygenase	9	9
K07408	oxidoreductase	9	9
K07408	oxygenase	9	9
K07409	dehydratase	9	9
K07409	flavin_binding	9	9
K07409	lyase	9	9
K07409	monooxygenase	9	9
K07409	oxidoreductase	9	9
K07409	oxygenase	9	9
K07411	flavin_binding	8	8
K07411	monooxygenase	8	8
K07411	oxidoreductase	8	8
K07411	oxygenase	8	8
K07412	flavin_binding	8	8
K07412	monooxygenase	8	8
K07412	oxidoreductase	8	8
K07412	oxygenase	8	8
K07413	flavin_binding	27	27
K07413	monooxygenase	27	27
K07413	oxidoreductase	27	27
K07413	oxygenase	27	27
K07414	flavin_binding	14	14
K07414	monooxygenase	14	14
K07414	oxidoreductase	14	14
K07414	oxygenase	14	14
K07415	flavin_binding	9	9
K07415	monooxygenase	9	9
K07415	nad_binding	9	9
K07415	oxidoreductase	9	9
K07415	oxygenase	9	9
K07418	flavin_binding	5	5
K07418	monooxygenase	5	5
K07418	oxidoreductase	5	5
K07418	oxygenase	5	5
K07424	flavin_binding	16	16
K07424	monooxygenase	16	16
K07424	oxidoreductase	16	16
K07424	oxygenase	16	16
K07425	flavin_binding	8	9
K07425	monooxygenase	9	9
K07425	oxidoreductase	9	9
K07425	oxygenase	9	9
K07432	glycosyltransferase	13	13
K07432	transferase	13	13
K07434	flavin_binding	16	16
K07434	monooxygenase	16	16
K07434	oxidoreductase	16	16
K07434	oxygenase	16	16
K07442	methyltransferase	23	23
K07442	transferase	23	23
K07447	hydrolase	604	604
K07456	atp_binding	149	150
K07456	atpase	149	150
K07456	hydrolase	149	150
K07462	hydrolase	10	10
K07464	hydrolase	8	9
K07475	hydrolase	5	5
K07503	hydrolase	56	56
K07508	hydrolase	5	5
K07508	transferase	5	5
K07509	transferase	7	7
K07511	dehydratase	7	7
K07511	lyase	7	7
K07512	nad_binding	18	18
K07512	oxidoreductase	18	18
K07513	cytoplasmic	9	11
K07513	transferase	11	11
K07514	dehydratase	6	6
K07514	dehydrogenase	6	6
K07514	isomerase	6	6
K07514	lyase	6	6
K07514	nad_binding	6	6
K07514	oxidoreductase	6	6
K07518	esterase	24	24
K07518	hydrolase	24	24
K07533	isomerase	89	89
K07542	glycosyltransferase	16	16
K07542	transferase	16	16
K07558	nucleotidyltransferase	38	38
K07558	transferase	38	38
K07559	atp_binding	61	61
K07559	kinase	61	61
K07559	transferase	61	61
K07560	esterase	534	535
K07560	hydrolase	534	535
K07561	transferase	24	24
K07566	nucleotidyltransferase	167	169
K07566	transferase	167	169
K07568	glycosyltransferase	531	531
K07568	transferase	531	531
K07583	isomerase	26	26
K07583	mutase	26	26
K07584	cysteine_protease	5	5
K07584	hydrolase	5	5
K07584	protease	5	5
K07586	hydrolase	97	97
K07587	ligase	21	21
K07587	translation	21	21
K07587	trna_synthetase	21	21
K07588	hydrolase	11	11
K07589	isomerase	5	5
K07589	racemase	5	5
K07636	sensor_kinase	6	6
K07636	transferase	6	6
K07636	two_component	6	6
K07637	hydrolase	11	12
K07637	phosphatase	11	12
K07637	sensor_kinase	12	12
K07637	transferase	12	12
K07637	two_component	12	12
K07638	sensor_kinase	5	5
K07638	transferase	5	5
K07638	two_component	5	5
K07644	sensor_kinase	6	6
K07644	transferase	6	6
K07644	two_component	6	6
K07645	sensor_kinase	6	6
K07645	transferase	6	6
K07645	two_component	6	6
K07646	transferase	6	6
K07651	sensor_kinase	8	8
K07651	transferase	8	8
K07651	two_component	8	8
K07652	sensor_kinase	21	21
K07652	transferase	21	21
K07652	two_component	21	21
K07653	hydrolase	14	14
K07653	phosphatase	14	14
K07653	sensor_kinase	14	14
K07653	transferase	14	14
K07653	two_component	14	14
K07654	sensor_kinase	7	7
K07654	transferase	7	7
K07654	two_component	7	7
K07679	sensor_kinase	5	5
K07679	transferase	5	5
K07679	two_component	5	5
K07681	sensor_kinase	11	11
K07681	transferase	11	11
K07681	two_component	11	11
K07683	sensor_kinase	18	18
K07683	transferase	18	18
K07683	two_component	18	18
K07704	sensor_kinase	21	21
K07704	transferase	21	21
K07704	two_component	21	21
K07708	hydrolase	7	7
K07708	phosphatase	7	7
K07708	sensor_kinase	7	7
K07708	transferase	7	7
K07708	two_component	7	7
K07732	atp_binding	47	47
K07732	kinase	47	47
K07732	transferase	47	47
K07739	transferase	18	18
K07748	dehydrogenase	9	9
K07748	nad_binding	9	9
K07748	oxidoreductase	9	9
K07749	sulfurtransferase	39	39
K07749	transferase	39	39
K07750	monooxygenase	14	14
K07750	oxidoreductase	14	14
K07750	oxygenase	14	14
K07751	hydrolase	65	65
K07751	peptidase	65	65
K07751	protease	65	65
K07752	hydrolase	5	5
K07752	peptidase	5	5
K07752	protease	5	5
K07753	nad_binding	5	5
K07753	oxidoreductase	5	5
K07754	oxidoreductase	8	8
K07755	methyltransferase	5	5
K07755	transferase	5	5
K07756	atp_binding	10	11
K07756	kinase	10	11
K07756	transferase	11	11
K07759	carbohydrate_active	8	8
K07759	enzyme	7	8
K07759	glycosidase	8	8
K07759	glycoside_hydrolase	7	8
K07759	hydrolase	8	8
K07760	kinase	6	6
K07760	serine_threonine_kinase	6	6
K07760	transferase	6	6
K07763	hydrolase	7	7
K07763	metal_binding	7	7
K07763	peptidase	7	7
K07763	protease	7	7
K07765	hydrolase	5	5
K07765	metal_binding	5	5
K07765	peptidase	5	5
K07765	protease	5	5
K07766	hydrolase	23	23
K07767	isomerase	20	20
K07806	aminotransferase	71	71
K07806	plp_binding	71	71
K07806	transferase	71	71
K07811	nitrogen_metabolism	12	12
K07811	oxidoreductase	12	12
K07813	hydrolase	31	33
K07813	peptidase	31	33
K07813	protease	31	33
K07819	glycosyltransferase	6	6
K07819	transferase	6	6
K07827	gtp_binding	32	34
K07827	hydrolase	32	34
K07828	gtp_binding	8	8
K07828	hydrolase	8	8
K07835	gtp_binding	7	7
K07835	hydrolase	7	7
K07836	gtp_binding	13	13
K07836	hydrolase	13	13
K07853	gtp_binding	7	7
K07853	hydrolase	7	7
K07857	gtp_binding	5	5
K07857	hydrolase	5	5
K07859	gtp_binding	5	5
K07859	hydrolase	5	5
K07870	gtp_binding	27	27
K07870	hydrolase	27	27
K07871	gtp_binding	8	8
K07871	hydrolase	8	8
K07875	gtp_binding	5	5
K07875	hydrolase	5	5
K07879	gtp_binding	5	5
K07879	hydrolase	5	5
K07881	gtp_binding	7	7
K07881	hydrolase	7	7
K07882	gtp_binding	6	6
K07882	hydrolase	6	6
K07883	gtp_binding	5	5
K07885	gtp_binding	5	5
K07885	hydrolase	5	5
K07887	cytoplasmic	9	11
K07887	gtp_binding	10	11
K07888	gtp_binding	6	6
K07888	hydrolase	6	6
K07890	gtp_binding	5	5
K07890	hydrolase	5	5
K07891	cytoplasmic	6	6
K07891	gtp_binding	6	6
K07891	hydrolase	6	6
K07893	gtp_binding	16	20
K07902	gtp_binding	5	5
K07902	hydrolase	5	5
K07903	gtp_binding	5	5
K07903	hydrolase	5	5
K07905	gtp_binding	7	7
K07928	gtp_binding	6	6
K07928	hydrolase	6	6
K07933	gtp_binding	7	8
K07933	hydrolase	7	8
K07953	gtp_binding	40	41
K07953	hydrolase	40	41
K07964	glycosidase	8	8
K07964	hydrolase	8	8
K07968	glycosyltransferase	8	8
K07968	transferase	8	8
K07975	gtp_binding	14	15
K07975	hydrolase	14	15
K07991	hydrolase	7	8
K07991	peptidase	7	8
K07991	protease	7	8
K07994	hydrolase	5	5
K07994	metal_binding	5	5
K07994	peptidase	5	5
K07994	protease	5	5
K08008	nad_binding	5	5
K08008	oxidoreductase	5	5
K08023	secreted	7	8
K08045	lyase	5	5
K08056	isomerase	5	5
K08069	amidase	7	7
K08069	hydrolase	7	7
K08076	hydrolase	10	10
K08076	metal_binding	10	10
K08076	peptidase	10	10
K08076	protease	10	10
K08080	monooxygenase	5	5
K08080	oxidoreductase	5	5
K08080	oxygenase	5	5
K08081	dehydrogenase	16	16
K08081	nad_binding	16	16
K08081	oxidoreductase	16	16
K08092	dehydrogenase	40	40
K08092	nad_binding	40	40
K08092	oxidoreductase	40	40
K08093	lyase	17	18
K08095	esterase	22	22
K08095	hydrolase	22	22
K08096	hydrolase	27	27
K08098	glycosyltransferase	13	13
K08098	transferase	13	13
K08155	transporter	7	7
K08192	cytoplasmic	12	15
K08201	membrane	6	6
K08232	nad_binding	10	10
K08232	oxidoreductase	10	10
K08235	glycosyltransferase	38	38
K08235	transferase	38	38
K08238	glycosyltransferase	9	9
K08238	transferase	9	9
K08245	hydrolase	5	5
K08245	peptidase	5	5
K08245	protease	5	5
K08255	nad_binding	18	18
K08255	oxidoreductase	18	18
K08255	sulfur_metabolism	18	18
K08256	glycosyltransferase	6	6
K08256	transferase	6	6
K08257	carbohydrate_active	9	9
K08257	glycosidase	9	9
K08257	hydrolase	9	9
K08258	cysteine_protease	10	10
K08258	hydrolase	10	10
K08258	protease	10	10
K08259	hydrolase	8	8
K08259	metal_binding	8	8
K08259	peptidase	8	8
K08259	protease	8	8
K08267	regulator	5	5
K08267	regulatory	5	5
K08269	kinase	29	29
K08269	serine_threonine_kinase	29	29
K08269	transferase	29	29
K08286	kinase	38	38
K08286	serine_threonine_kinase	38	38
K08286	transferase	38	38
K08287	kinase	5	5
K08287	transferase	5	5
K08289	ligase	222	222
K08289	synthetase	222	222
K08291	kinase	12	12
K08291	serine_threonine_kinase	12	12
K08291	transferase	12	12
K08294	kinase	6	6
K08294	transferase	6	6
K08296	hydrolase	7	7
K08296	phosphatase	7	7
K08297	flavin_binding	43	43
K08297	oxidoreductase	43	43
K08298	sulfurtransferase	34	34
K08298	transferase	34	34
K08299	dehydratase	25	25
K08299	lyase	25	25
K08300	endonuclease	9	9
K08300	hydrolase	9	9
K08300	nuclease	9	9
K08300	rnase	9	9
K08301	endonuclease	6	6
K08301	hydrolase	6	6
K08301	nuclease	6	6
K08301	rnase	6	6
K08302	lyase	63	63
K08303	hydrolase	8	8
K08303	peptidase	8	8
K08303	protease	8	8
K08304	lyase	5	5
K08306	lyase	67	67
K08308	lyase	41	41
K08311	hydrolase	317	317
K08314	lyase	20	20
K08316	methyltransferase	8	8
K08316	transferase	8	8
K08319	dehydrogenase	5	5
K08319	nad_binding	5	5
K08319	oxidoreductase	5	5
K08321	transferase	27	28
K08333	kinase	9	9
K08333	serine_threonine_kinase	9	9
K08333	transferase	9	9
K08342	cysteine_protease	49	49
K08342	hydrolase	49	49
K08342	protease	49	49
K08370	ion_transporter	7	7
K08370	translocase	7	7
K08370	transporter	7	7
K08479	sensor_kinase	23	23
K08479	transferase	23	23
K08479	two_component	23	23
K08482	atp_binding	13	13
K08482	atpase	13	13
K08482	hydrolase	13	13
K08482	kinase	13	13
K08482	serine_threonine_kinase	13	13
K08482	transferase	13	13
K08483	atp_binding	33	33
K08483	kinase	33	33
K08483	transferase	33	33
K08489	cytoplasmic	7	7
K08493	cytoplasmic	9	11
K08515	cytoplasmic	15	18
K08568	hydrolase	5	5
K08568	peptidase	5	5
K08568	protease	5	5
K08573	cysteine_protease	6	6
K08573	hydrolase	6	6
K08573	protease	6	6
K08576	cysteine_protease	9	9
K08576	hydrolase	9	9
K08576	protease	9	9
K08588	hydrolase	19	19
K08588	peptidase	19	19
K08588	protease	19	19
K08591	transferase	492	492
K08592	cysteine_protease	9	9
K08592	hydrolase	9	9
K08592	protease	9	9
K08596	cysteine_protease	10	10
K08596	hydrolase	10	10
K08596	protease	10	10
K08597	cysteine_protease	7	7
K08597	hydrolase	7	7
K08597	protease	7	7
K08599	cysteine_protease	5	5
K08599	hydrolase	5	5
K08599	protease	5	5
K08601	hydrolase	5	5
K08601	peptidase	5	5
K08601	protease	5	5
K08602	hydrolase	8	8
K08602	metal_binding	8	8
K08602	peptidase	8	8
K08602	protease	8	8
K08635	hydrolase	10	10
K08635	metal_binding	10	10
K08635	peptidase	10	10
K08635	protease	10	10
K08641	hydrolase	5	5
K08641	peptidase	5	5
K08641	protease	5	5
K08652	hydrolase	5	5
K08652	peptidase	5	5
K08652	protease	5	5
K08653	hydrolase	5	5
K08653	peptidase	5	5
K08653	protease	5	5
K08658	hydrolase	9	9
K08658	peptidase	9	9
K08658	protease	9	9
K08659	hydrolase	8	8
K08659	peptidase	8	8
K08659	protease	8	8
K08660	hydrolase	5	5
K08660	peptidase	5	5
K08660	protease	5	5
K08669	hydrolase	14	14
K08669	peptidase	14	14
K08669	protease	14	14
K08675	hydrolase	31	31
K08675	peptidase	31	31
K08675	protease	31	31
K08676	hydrolase	6	6
K08676	peptidase	6	6
K08676	protease	6	6
K08678	decarboxylase	12	12
K08678	lyase	12	12
K08679	isomerase	9	10
K08679	racemase	9	10
K08680	lyase	63	63
K08681	amidase	249	249
K08681	hydrolase	249	249
K08681	lyase	248	249
K08682	hydrolase	48	48
K08682	phosphodiesterase	48	48
K08691	lyase	6	6
K08712	inner_membrane	6	6
K08712	membrane	6	6
K08722	hydrolase	68	68
K08722	phosphatase	68	68
K08726	hydrolase	5	5
K08729	transferase	8	8
K08730	transferase	9	9
K08743	hydrolase	7	7
K08743	phosphodiesterase	7	7
K08744	transferase	13	13
K08745	ligase	6	6
K08745	synthetase	6	6
K08764	transferase	7	7
K08766	transferase	8	8
K08776	hydrolase	7	7
K08776	peptidase	7	7
K08776	protease	7	7
K08779	hydrolase	6	6
K08779	peptidase	6	6
K08779	protease	6	6
K08784	hydrolase	8	8
K08784	peptidase	8	8
K08784	protease	8	8
K08789	kinase	15	15
K08789	serine_threonine_kinase	15	15
K08789	transferase	15	15
K08790	kinase	9	9
K08790	serine_threonine_kinase	9	9
K08790	transferase	9	9
K08793	kinase	7	7
K08793	serine_threonine_kinase	7	7
K08793	transferase	7	7
K08794	kinase	13	13
K08794	serine_threonine_kinase	13	13
K08794	transferase	13	13
K08796	kinase	7	7
K08796	serine_threonine_kinase	7	7
K08796	transferase	7	7
K08797	kinase	5	5
K08797	serine_threonine_kinase	5	5
K08797	transferase	5	5
K08798	kinase	15	15
K08798	serine_threonine_kinase	15	15
K08798	transferase	15	15
K08799	kinase	6	6
K08799	serine_threonine_kinase	6	6
K08799	transferase	6	6
K08800	kinase	6	6
K08800	serine_threonine_kinase	6	6
K08800	transferase	6	6
K08803	kinase	8	8
K08803	serine_threonine_kinase	8	8
K08803	transferase	8	8
K08804	kinase	5	5
K08804	serine_threonine_kinase	5	5
K08804	transferase	5	5
K08805	kinase	12	12
K08805	serine_threonine_kinase	12	12
K08805	transferase	12	12
K08807	kinase	5	5
K08807	serine_threonine_kinase	5	5
K08807	transferase	5	5
K08808	kinase	5	5
K08808	serine_threonine_kinase	5	5
K08808	transferase	5	5
K08811	enzyme	10	11
K08811	kinase	11	11
K08811	magnesium_binding	9	11
K08811	metal_binding	9	11
K08811	phosphotransferase	10	11
K08811	serine_threonine_kinase	11	11
K08811	transferase	11	11
K08816	kinase	12	12
K08816	serine_threonine_kinase	12	12
K08816	transferase	12	12
K08817	kinase	6	6
K08817	serine_threonine_kinase	6	6
K08817	transferase	6	6
K08818	kinase	13	13
K08818	serine_threonine_kinase	13	13
K08818	transferase	13	13
K08819	kinase	15	15
K08819	serine_threonine_kinase	15	15
K08819	transferase	15	15
K08821	kinase	5	5
K08821	serine_threonine_kinase	5	5
K08821	transferase	5	5
K08823	kinase	8	8
K08823	transferase	8	8
K08824	kinase	18	18
K08824	serine_threonine_kinase	18	18
K08824	transferase	18	18
K08825	kinase	11	11
K08825	transferase	11	11
K08826	kinase	12	12
K08826	serine_threonine_kinase	12	12
K08826	transferase	12	12
K08827	kinase	7	7
K08827	serine_threonine_kinase	7	7
K08827	transferase	7	7
K08829	kinase	8	8
K08829	serine_threonine_kinase	8	8
K08829	transferase	8	8
K08832	kinase	6	6
K08832	serine_threonine_kinase	6	6
K08832	transferase	6	6
K08835	kinase	10	10
K08835	serine_threonine_kinase	10	10
K08835	transferase	10	10
K08837	kinase	6	6
K08837	serine_threonine_kinase	6	6
K08837	transferase	6	6
K08838	kinase	12	12
K08838	serine_threonine_kinase	12	12
K08838	transferase	12	12
K08850	kinase	15	15
K08850	serine_threonine_kinase	15	15
K08850	transferase	15	15
K08851	hydrolase	19	20
K08851	kinase	20	20
K08851	serine_threonine_kinase	20	20
K08851	transferase	20	20
K08852	endonuclease	9	10
K08852	hydrolase	9	10
K08852	kinase	10	10
K08852	nuclease	9	10
K08852	regulator	9	10
K08852	regulatory	9	10
K08852	rnase	9	10
K08852	serine_threonine_kinase	10	10
K08852	stress_response	9	10
K08852	transferase	10	10
K08853	kinase	9	10
K08853	serine_threonine_kinase	9	10
K08853	transferase	9	10
K08856	kinase	6	6
K08856	serine_threonine_kinase	6	6
K08856	transferase	6	6
K08857	kinase	19	19
K08857	serine_threonine_kinase	19	19
K08857	transferase	19	19
K08858	kinase	10	10
K08858	serine_threonine_kinase	10	10
K08858	transferase	10	10
K08860	kinase	6	6
K08860	serine_threonine_kinase	6	6
K08860	transferase	6	6
K08863	kinase	22	22
K08863	serine_threonine_kinase	22	22
K08863	transferase	22	22
K08864	kinase	10	10
K08864	serine_threonine_kinase	10	10
K08864	transferase	10	10
K08866	kinase	7	7
K08866	transferase	7	7
K08867	kinase	31	31
K08867	serine_threonine_kinase	31	31
K08867	transferase	31	31
K08868	kinase	6	6
K08868	serine_threonine_kinase	6	6
K08868	transferase	6	6
K08869	transferase	29	36
K08873	kinase	6	6
K08873	serine_threonine_kinase	6	6
K08873	transferase	6	6
K08884	kinase	25	25
K08884	serine_threonine_kinase	25	25
K08884	transferase	25	25
K08886	atp_binding	6	6
K08886	kinase	6	6
K08886	transferase	6	6
K08892	atp_binding	5	5
K08892	kinase	5	5
K08892	transferase	5	5
K08900	hydrolase	9	9
K08955	hydrolase	10	10
K08955	metal_binding	10	10
K08955	peptidase	10	10
K08955	protease	10	10
K08956	hydrolase	12	12
K08956	metal_binding	12	12
K08956	peptidase	12	12
K08956	protease	12	12
K08957	kinase	11	11
K08957	serine_threonine_kinase	11	11
K08957	transferase	11	11
K08958	kinase	16	16
K08958	serine_threonine_kinase	16	16
K08958	transferase	16	16
K08959	kinase	8	8
K08959	serine_threonine_kinase	8	8
K08959	transferase	8	8
K08960	cytoplasmic	9	11
K08960	kinase	11	11
K08960	serine_threonine_kinase	11	11
K08960	transferase	11	11
K08963	isomerase	286	286
K08964	dehydratase	160	160
K08964	lyase	160	160
K08965	isomerase	26	26
K08966	hydrolase	27	27
K08966	phosphatase	27	27
K08967	dioxygenase	140	145
K08967	oxidoreductase	140	145
K08967	oxygenase	140	145
K08973	oxidoreductase	5	5
K08991	dnase	18	18
K08991	endonuclease	18	18
K08991	hydrolase	18	18
K08991	nuclease	18	18
K08997	nucleotidyltransferase	253	253
K08997	transferase	253	253
K09001	atp_binding	258	258
K09001	kinase	258	258
K09001	transferase	258	258
K09006	endonuclease	33	33
K09006	hydrolase	33	33
K09006	nuclease	33	33
K09006	rnase	33	33
K09007	hydrolase	169	169
K09011	transferase	9	9
K09018	oxidoreductase	66	66
K09018	oxygenase	66	66
K09019	oxidoreductase	56	56
K09020	amidase	65	65
K09020	hydrolase	65	65
K09021	hydrolase	63	63
K09023	amidase	65	65
K09023	hydrolase	65	65
K09024	nad_binding	64	64
K09024	oxidoreductase	64	64
K09060	dna_binding	5	5
K09090	dna_binding	9	10
K09090	regulator	9	10
K09113	cytoplasmic	8	9
K09113	regulator	8	9
K09113	regulatory	8	9
K09128	dehydratase	17	17
K09128	lyase	17	17
K09140	transferase	26	26
K09207	dna_binding	5	5
K09209	regulator	5	5
K09209	regulatory	5	5
K09251	aminotransferase	47	47
K09251	plp_binding	47	47
K09251	transferase	47	47
K09252	esterase	8	8
K09252	hydrolase	8	8
K09268	dna_binding	8	9
K09330	activator	6	6
K09330	dna_binding	6	6
K09330	regulator	6	6
K09330	regulatory	6	6
K09330	transcription	6	6
K09330	transcription_factor	6	6
K09457	nad_binding	206	206
K09457	nitrogen_metabolism	206	206
K09457	oxidoreductase	206	206
K09458	transferase	23	23
K09478	flavin_binding	6	6
K09478	oxidoreductase	6	6
K09482	ligase	38	38
K09482	synthetase	38	38
K09487	atp_binding	13	15
K09530	oxidoreductase	5	5
K09530	sulfur_metabolism	5	5
K09561	transferase	5	5
K09564	isomerase	5	5
K09565	isomerase	7	7
K09566	isomerase	6	6
K09567	isomerase	14	14
K09568	isomerase	29	29
K09569	isomerase	19	19
K09571	isomerase	13	13
K09575	isomerase	7	7
K09578	isomerase	9	9
K09579	isomerase	10	10
K09580	isomerase	28	31
K09584	isomerase	18	19
K09592	dioxygenase	9	9
K09592	oxidoreductase	9	9
K09592	oxygenase	9	9
K09595	cytoplasmic	8	9
K09595	hydrolase	9	9
K09595	peptidase	9	9
K09595	protease	9	9
K09597	hydrolase	12	12
K09597	peptidase	12	12
K09597	protease	12	12
K09598	hydrolase	5	5
K09598	peptidase	5	5
K09598	protease	5	5
K09602	hydrolase	7	7
K09602	peptidase	7	7
K09602	protease	7	7
K09613	hydrolase	25	26
K09613	peptidase	25	26
K09613	protease	25	26
K09624	hydrolase	5	5
K09624	peptidase	5	5
K09624	protease	5	5
K09627	hydrolase	5	5
K09627	peptidase	5	5
K09627	protease	5	5
K09645	hydrolase	8	8
K09645	peptidase	8	8
K09645	protease	8	8
K09647	hydrolase	7	7
K09647	peptidase	7	7
K09647	protease	7	7
K09648	hydrolase	7	7
K09648	peptidase	7	7
K09648	protease	7	7
K09650	hydrolase	9	9
K09650	peptidase	9	9
K09650	protease	9	9
K09651	hydrolase	5	5
K09651	peptidase	5	5
K09651	protease	5	5
K09654	glycosyltransferase	5	5
K09654	transferase	5	5
K09662	glycosyltransferase	7	7
K09662	transferase	7	7
K09667	glycosyltransferase	11	11
K09667	transferase	11	11
K09668	glycosyltransferase	11	11
K09668	transferase	11	11
K09669	glycosyltransferase	7	8
K09669	transferase	7	8
K09674	sulfurtransferase	6	6
K09674	transferase	6	6
K09680	atp_binding	33	33
K09680	kinase	33	33
K09680	transferase	33	33
K09693	atp_binding	25	25
K09693	translocase	25	25
K09693	transporter	25	25
K09695	atp_binding	16	16
K09695	translocase	16	16
K09695	transporter	16	16
K09698	ligase	146	146
K09698	translation	146	146
K09698	trna_synthetase	146	146
K09699	transferase	9	9
K09708	hydrolase	5	5
K09708	peptidase	5	5
K09708	protease	5	5
K09716	esterase	57	57
K09716	hydrolase	57	57
K09722	ligase	5	5
K09722	synthetase	5	5
K09733	lyase	16	16
K09735	atp_binding	61	61
K09735	kinase	61	61
K09735	transferase	61	61
K09753	nad_binding	6	6
K09753	oxidoreductase	6	6
K09759	ligase	31	31
K09759	translation	31	31
K09759	trna_synthetase	31	31
K09761	methyltransferase	21	22
K09761	transferase	21	22
K09765	oxidoreductase	10	11
K09773	atp_binding	391	391
K09773	kinase	391	391
K09773	serine_threonine_kinase	391	391
K09773	transferase	391	391
K09810	atp_binding	184	184
K09810	translocase	184	184
K09810	transporter	184	184
K09814	atp_binding	14	14
K09814	translocase	14	14
K09814	transporter	14	14
K09817	ion_transporter	93	102
K09817	translocase	93	102
K09817	transporter	93	102
K09827	dehydrogenase	9	9
K09827	nad_binding	9	9
K09827	oxidoreductase	9	9
K09828	nad_binding	5	5
K09828	oxidoreductase	5	5
K09829	isomerase	9	10
K09831	oxidoreductase	5	5
K09831	oxygenase	5	5
K09833	transferase	5	5
K09840	dioxygenase	14	15
K09840	oxidoreductase	15	15
K09840	oxygenase	15	15
K09843	flavin_binding	8	8
K09843	monooxygenase	8	8
K09843	oxidoreductase	8	8
K09843	oxygenase	8	8
K09880	hydrolase	143	143
K09880	phosphatase	143	143
