# EC numbers whose ENZYME reaction consumes S-adenosyl-L-methionine; generated by scripts/build_ec_sam_table.py from enzyme.dat sha256 6e1f553fcaa15ba7 (Expasy ENZYME, CC BY 4.0)
# ec	name
2.1.1.317	sphingolipid C(9)-methyltransferase
2.1.1.318	[trehalose-6-phosphate synthase]-L-cysteine S-methyltransferase
2.1.1.319	type I protein arginine methyltransferase
2.1.1.320	type II protein arginine methyltransferase
2.1.1.321	type III protein arginine methyltransferase
2.1.1.322	type IV protein arginine methyltransferase
2.1.1.323	(-)-pluviatolide 4-O-methyltransferase
2.1.1.324	dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N,N-dimethyltransferase
2.1.1.325	juvenile hormone-III synthase
2.1.1.326	N-acetyl-demethylphosphinothricin P-methyltransferase
2.1.1.327	phenazine-1-carboxylate N-methyltransferase
2.1.1.328	N-demethylindolmycin N-methyltransferase
2.1.1.329	demethylphylloquinol methyltransferase
2.1.1.330	5'-demethylyatein 5'-O-methyltransferase
2.1.1.333	bacteriochlorophyllide d C-20 methyltransferase
2.1.1.334	methanethiol S-methyltransferase
2.1.1.336	norbelladine O-methyltransferase
2.1.1.337	reticuline N-methyltransferase
2.1.1.338	desmethylxanthohumol 6'-O-methyltransferase
2.1.1.339	xanthohumol 4-O-methyltransferase
2.1.1.340	3-aminomethylindole N-methyltransferase
2.1.1.342	anaerobilin synthase
2.1.1.343	8-amino-8-demethylriboflavin N,N-dimethyltransferase
2.1.1.344	ornithine lipid N-methyltransferase
2.1.1.345	psilocybin synthase
2.1.1.346	U6 snRNA m(6)A methyltransferase
2.1.1.347	(+)-O-methylkolavelool synthase
2.1.1.348	mRNA m(6)A methyltransferase
2.1.1.349	toxoflavin synthase
2.1.1.350	menaquinone C(8)-methyltransferase
2.1.1.351	nocamycin O-methyltransferase
2.1.1.352	3-O-acetyl-4'-O-demethylpapaveroxine 4'-O-methyltransferase
2.1.1.353	demethylluteothin O-methyltransferase
2.1.1.354	[histone H3]-lysine(4) N-trimethyltransferase
2.1.1.355	[histone H3]-lysine(9) N-trimethyltransferase
2.1.1.356	[histone H3]-lysine(27) N-trimethyltransferase
2.1.1.357	[histone H3]-lysine(36) N-dimethyltransferase
2.1.1.359	[histone H3]-lysine(36) N-trimethyltransferase
2.1.1.360	[histone H3]-lysine(79) N-trimethyltransferase
2.1.1.361	[histone H4]-lysine(20) N-methyltransferase
2.1.1.362	[histone H4]-N-methyl-L-lysine(20) N-methyltransferase
2.1.1.363	pre-sodorifen synthase
2.1.1.364	[histone H3]-lysine(4) N-methyltransferase
2.1.1.365	MMP 1-O-methyltransferase
2.1.1.366	[histone H3]-N(6),N(6)-dimethyl-lysine(9) N-methyltransferase
2.1.1.367	[histone H3]-lysine(9) N-methyltransferase
2.1.1.368	[histone H3]-lysine(9) N-dimethyltransferase
2.1.1.369	[histone H3]-lysine(27) N-methyltransferase
2.1.1.370	[histone H3]-lysine(4) N-dimethyltransferase
2.1.1.371	[histone H3]-lysine(27) N-dimethyltransferase
2.1.1.372	[histone H4]-lysine(20) N-trimethyltransferase
2.1.1.373	2-hydroxy-4-(methylsulfanyl)butanoate S-methyltransferase
2.1.1.374	2-heptyl-1-hydroxyquinolin-4(1H)-one methyltransferase
2.1.1.375	NNS virus cap methyltransferase
2.1.1.379	[methyl coenzyme M reductase]-L-arginine C-5-methyltransferase
2.1.1.380	3-amino-4-hydroxybenzoate 4-O-methyltransferase
2.1.1.381	arginine N(omega)-methyltransferase
2.1.1.386	small RNA 2'-O-methyltransferase
2.1.1.387	5-dehydro-6-demethoxy-6-hydroxyfumagillol O-methyltransferase
2.1.1.390	gentamicin X2 methyltransferase
2.1.1.391	demethylgadusol O-methyltransferase
2.1.1.392	norajmaline N-methyltransferase
2.1.1.393	ajmaline N-methyltransferase
2.1.1.394	2-(S-pantetheinyl)-carbapenam-3-carboxylate methyltransferase
2.1.1.395	7'-O-demethylcephaeline methyltransferase
2.1.1.396	cephaeline 6'-O-methyltransferase
2.1.1.397	hydroxystrychnine O-methyltransferase
2.1.1.398	isoflavone 3'-O-methyltransferase
2.1.1.399	resveratrol 4'-O-methyltransferase
2.1.1.400	6-carboxymethyl-5-methyl-4-hydroxypyridin-2-ol 3-C-methyltransferase
2.1.1.401	nicotinate methyltransferase
2.1.1.402	sialate 8-O-methyltransferase
2.1.1.403	methylecgonone synthase
2.1.1.404	atrochrysone 6-O-methyltransferase
2.1.1.405	5-hydroxybenzimidazole ribotide O-methyltransferase
2.1.1.406	sterol 4-C-methyltransferase
2.3.1.184	acyl-homoserine-lactone synthase
2.3.1.228	isovaleryl-homoserine lactone synthase
2.3.1.229	4-coumaroyl-homoserine lactone synthase
2.3.1.231	tRNA(Phe) {7-[3-amino-3-(methoxycarbonyl)propyl]wyosine(37)-N}- methoxycarbonyltransferase
2.3.1.244	2-methylbutanoate polyketide synthase
2.3.1.311	tRNA carboxymethyluridine synthase
2.4.99.17	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
2.5.1.24	discadenine synthase
2.5.1.25	tRNA-uridine aminocarboxypropyltransferase
2.5.1.38	isonocardicin synthase
2.5.1.43	nicotianamine synthase
2.5.1.63	adenosyl-fluoride synthase
2.5.1.94	adenosyl-chloride synthase
2.5.1.108	2-(3-amino-3-carboxypropyl)histidine synthase
2.5.1.114	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase
2.5.1.120	aminodeoxyfutalosine synthase
2.5.1.147	5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase
2.5.1.152	D-histidine 2-aminobutanoyltransferase
2.5.1.157	rRNA small subunit aminocarboxypropyltransferase
2.5.1.161	S-adenosyl-L-methionine:NAD(+) aminocarboxypropyltransferase
2.6.1.62	adenosylmethionine--8-amino-7-oxononanoate transaminase
2.8.1.6	biotin synthase
2.8.1.8	lipoyl synthase
2.8.4.3	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
2.8.4.4	[ribosomal protein uS12] (aspartate(89)-C(3))-methylthiotransferase
2.8.4.5	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase
3.13.2.3	(R)-S-adenosyl-L-methionine hydrolase (adenosine-forming)
4.1.1.50	adenosylmethionine decarboxylase
4.1.99.17	phosphomethylpyrimidine synthase
4.1.99.19	2-iminoacetate synthase
4.1.99.22	GTP 3',8-cyclase
4.3.1.30	dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase
4.3.1.32	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase
4.4.1.14	1-aminocyclopropane-1-carboxylate synthase
4.4.1.42	S-adenosyl-L-methionine lyase
5.3.99.13	4'-phospho-dehydrooxetanocin synthase
6.3.2.40	cyclopeptine synthase
